staircase_switch_left,office_switch_left,livingroom_heater2_effective_setpoint,walkway_switch2_top_right,kitchen_cupboard5,entrance_switch_left,bathroom_switch_bottom_right,livingroom_shutter4,bedroom_door,bedroom_heater2_command,kitchen_switch_bottom_right,office_AC_mode,kitchen_cooktop_partial_energy,kitchen_cooktop_voltage,livingroom_shutter2,bedroom_light3,bedroom_shutter1,bathroom_heater_effective_mode,entrance_heater_effective_mode,livingroom_heater2_command,kitchen_sink_hotwater_total,livingroom_window1,bedroom_heater1_temperature,bedroom_bed_pressure,livingroom_couch_plug_consumption,toilet_switch_left,kitchen_noise,office_shutter,livingroom_heater2_temperature,office_switch_right,entrance_light1,bathroom_sink_hotwater_total,office_noise,kitchen_dishwasher_voltage,office_luminosity,bedroom_heater1_effective_setpoint,bathroom_shower_coldwater_instantaneous,kitchen_fridge_door,bathroom_temperature,walkway_switch2_bottom_right,kitchen_hood_total_energy,livingroom_heater2_effective_mode,kitchen_cupboard1,bedroom_heater2_effective_mode,office_AC_setpoint,kitchen_presence,bathroom_shower_hotwater_total,livingroom_switch2_top_right,livingroom_AC_setpoint,livingroom_heater2_base_setpoint,kitchen_sink_coldwater_total,bedroom_temperature,bedroom_switch_top_left,kitchen_fridge_power,bedroom_drawer2,bedroom_AC_setpoint,bedroom_heater1_command,toilet_coldwater_instantaneous,bathroom_light2,livingroom_table_plug_consumption,bedroom_shutter2,bedroom_drawer1,kitchen_cupboard4,livingroom_switch1_top_right,kitchen_cupboard3,bathroom_heater_temperature,kitchen_dishwasher_current,bedroom_heater2_temperature,office_heater_effective_setpoint,kitchen_oven_voltage,kitchen_washingmachine_total_energy,entrance_noise,toilet_switch_right,bedroom_light4,kitchen_washingmachine_power,office_light,bedroom_heater1_effective_mode,entrance_heater_command,entrance_heater_temperature,livingroom_heater1_effective_mode,bedroom_light1,walkway_switch2_bottom_left,bathroom_door,bathroom_switch_top_left,office_door,kitchen_CO2,kitchen_washingmachine_current,kitchen_light2,bedroom_noise,bedroom_humidity,kitchen_fridge_partial_energy,bedroom_switch_bottom_right,kitchen_cooktop_current,walkway_switch1_top_right,office_heater_base_setpoint,bedroom_switch_top_right,bathroom_heater_base_setpoint,kitchen_fridge_voltage,kitchen_luminosity,walkway_noise,kitchen_humidity,livingroom_heater1_command,bedroom_switch_bottom_left,staircase_light,kitchen_cooktop_power,bedroom_heater2_effective_setpoint,walkway_switch2_top_left,bathroom_sink_hotwater_instantaneous,office_presence,bathroom_switch_bottom_left,livingroom_switch1_bottom_left,livingroom_heater1_base_setpoint,entrance_heater_base_setpoint,bathroom_switch_top_right,bedroom_heater2_base_setpoint,bathroom_shower_coldwater_total,kitchen_fridge_current,walkway_light,office_heater_effective_mode,bedroom_switch_middle_left,kitchen_dishwasher_partial_energy,livingroom_presence_table,kitchen_oven_partial_energy,kitchen_light1,entrance_door,kitchen_washingmachine_voltage,walkway_switch1_top_left,kitchen_switch_bottom_left,kitchen_hood_power,office_desk_plug_consumption,toilet_coldwater_total,office_tv_status,bathroom_CO2,bathroom_light1,bedroom_heater1_base_setpoint,kitchen_dishwasher_power,office_heater_temperature,livingroom_table_noise,livingroom_shutter5,bedroom_CO2,kitchen_temperature,bathroom_heater_command,livingroom_light1,kitchen_oven_power,kitchen_hood_voltage,kitchen_hood_partial_energy,bedroom_luminosity,bathroom_shower_hotwater_instantaneous,office_switch_middle,livingroom_light2,kitchen_sink_hotwater_instantaneous,livingroom_temperature,kitchen_cooktop_total_energy,livingroom_switch2_top_left,kitchen_sink_coldwater_instantaneous,kitchen_switch_top_right,entrance_heater_effective_setpoint,walkway_switch1_bottom_right,bedroom_light2,livingroom_presence_couch,kitchen_fridge_total_energy,kitchen_dishwasher_total_energy,livingroom_tv_status,livingroom_humidity,office_window,toilet_light,office_heater_command,bedroom_presence,bathroom_luminosity,office_tv_plug_consumption,livingroom_table_luminosity,kitchen_oven_current,livingroom_heater1_effective_setpoint,livingroom_tv_plug_consumption,bathroom_humidity,kitchen_switch_top_left,walkway_switch1_bottom_left,staircase_switch_right,bedroom_switch_middle_right,bathroom_sink_coldwater_total,bathroom_sink_coldwater_instantaneous,livingroom_luminosity,bathroom_presence,bathroom_heater_effective_setpoint,livingroom_couch_noise,bathroom_shower_door,kitchen_cupboard2,livingroom_switch1_top_left,bedroom_closet_door,kitchen_oven_total_energy,livingroom_shutter3,livingroom_heater1_temperature,kitchen_washingmachine_partial_energy,kitchen_hood_current,livingroom_CO2,livingroom_shutter1
0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,26035.0,240.57,0.0,0.0,100.0,1.0,1.0,0.0,1288.0001,1.0,21.76,162.0,0.0,0.0,7.3536577,100.0,20.72,0.0,0.0,275.0,1.006215,240.97598,71.0,21.0,0.00476692,1.0,22.097,0.0,670.89996,1.0,1.0,1.0,21.0,1.0,2240.2,0.0,21.0,21.0,1929.9999,22.980001,0.0,0.0,1.0,21.0,0.0,0.011929475,0.0,0.0,100.0,1.0,1.0,0.0,1.0,21.18,0.0,21.22,21.0,241.91,3942.0,1.41733,0.0,0.0,0.0,0.0,1.0,0.0,22.5,1.0,0.0,0.0,1.0,0.0,1.0,225.168,0.1,0.0,0.9520005,35.399998,123157.0,0.0,1.632,0.0,21.0,0.0,21.0,238.618,311.456,2.0231917,27.0,0.0,0.0,0.0,379.80002,21.0,0.0,0.1,0.0,0.0,0.0,21.0,21.0,0.0,21.0,434.09998,0.555,100.0,1.0,0.0,19349.1,1.0,14211.0,0.0,1.0,241.48601,0.0,0.0,12.7,0.0,1042.0,0.0,330.048,0.0,21.0,0.1,22.65,0.4590211,0.0,721.66394,22.013,0.0,0.0,0.1,237.279,737.1,1.0,0.013576064,0.0,0.0,0.006625795,21.772001,26609.2,0.0,0.008598472,0.0,21.0,0.0,0.0,0.0,124600.0,19349.1,0.0,36.6,1.0,0.0,0.0,0.0,32.0,2.7,405.832,0.1,21.0,6.3,37.0,0.0,0.0,0.0,0.0,353.5,0.0,532.148,0.0,21.0,0.245566,1.0,1.0,0.0,1.0,14225.0,0.0,21.300001,3942.0,0.0,558.72003,0.0
0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,26035.0,240.57,0.0,0.0,100.0,1.0,1.0,0.0,1288.0001,1.0,21.76,71.0,8.0,0.0,7.3536577,0.0,21.480001,0.0,0.0,274.8,1.006215,240.676,352.0,21.0,0.00476692,1.0,22.097,0.0,704.0,1.0,1.0,1.0,21.0,0.0,2134.0,0.0,21.0,21.0,1929.9999,22.980001,0.0,0.0,1.0,21.0,0.0,0.0,0.0,7.2000003,100.0,1.0,1.0,0.0,1.0,21.82,0.1,21.22,21.0,241.91,3942.0,2.179767,0.0,0.0,0.1,100.0,1.0,0.0,22.5,1.0,0.0,0.0,1.0,0.0,1.0,225.168,0.1,0.0,0.455025,34.0,124497.0,0.0,0.0,0.0,21.0,0.0,21.0,241.81201,134.304,0.103194006,27.0,0.0,0.0,0.0,379.80002,21.0,0.0,0.1,1.0,0.0,0.0,21.0,21.0,0.0,21.0,399.90002,0.555,0.0,1.0,0.0,19349.1,0.0,13958.7,0.0,1.0,240.34,0.0,0.0,0.0,0.0,1042.0,0.0,330.048,0.0,21.0,0.1,21.75,0.0913492,0.0,480.96,22.4,0.0,0.0,0.0,238.32901,670.89996,91.596,0.0,0.0,0.0,0.0,21.772001,26609.2,0.0,0.0,0.0,21.0,0.0,0.0,0.0,124600.0,19349.0,0.0,36.6,1.0,0.0,0.0,0.0,32.0,2.7,405.832,0.1,21.0,0.0,37.0,0.0,0.0,0.0,0.0,353.5,0.007433656,740.492,0.0,21.0,0.245566,1.0,1.0,0.0,1.0,14225.0,0.0,21.300001,3942.0,0.0,558.72003,0.0
0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,26035.0,240.57,0.0,0.0,100.0,1.0,1.0,0.0,1288.0001,1.0,20.439999,48.0,0.0,0.0,7.3536577,0.0,21.099998,0.0,0.0,274.8,1.006215,239.94,352.96,21.0,0.0,1.0,22.097,0.0,704.0,1.0,1.0,1.0,21.0,0.0,2134.0,0.0,21.0,21.0,1929.9999,22.980001,0.0,0.0,1.0,21.0,5.0,0.0,0.0,7.2000003,100.0,1.0,1.0,0.0,1.0,21.82,0.1,20.62,21.0,241.91,3942.0,2.179767,0.0,0.0,0.1,100.0,1.0,0.0,21.9,1.0,0.0,0.0,1.0,0.0,1.0,225.168,0.1,0.0,0.455025,31.400002,123827.0,0.0,0.0,0.0,21.0,0.0,21.0,241.81201,134.304,0.103194006,28.3,0.0,0.0,0.0,379.80002,21.0,0.0,0.1,1.0,0.0,0.0,21.0,21.0,0.0,21.0,399.90002,0.555,0.0,1.0,0.0,19349.0,0.0,13958.7,0.0,1.0,241.48601,0.0,0.0,0.0,0.0,1042.0,0.0,330.048,0.0,21.0,0.1,21.75,0.0913492,0.0,480.96,22.4,0.0,0.0,0.0,238.32901,670.89996,91.596,0.0,0.0,0.0,0.0,21.772001,26609.2,0.0,0.0,0.0,21.0,0.0,0.0,0.0,124600.0,19349.0,0.0,32.6,1.0,0.0,0.0,0.0,32.0,2.7,416.712,0.1,21.0,1.0,37.0,0.0,0.0,0.0,0.0,353.5,0.007433656,762.25195,0.0,21.0,0.245566,1.0,1.0,0.0,1.0,14225.0,0.0,21.300001,3942.0,0.0,546.88,0.0
0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,26035.0,240.57,0.0,0.0,100.0,1.0,1.0,0.0,1288.0001,1.0,20.9,48.0,0.0,0.0,7.3536577,0.0,20.92,0.0,0.0,274.8,1.5311401,240.676,352.96,21.0,0.00476692,1.0,22.097,0.0,704.0,1.0,1.0,1.0,21.0,0.0,2134.0,0.0,21.0,21.0,1929.9999,22.980001,0.0,88.0,1.0,21.0,5.0,0.0,0.0,7.2000003,100.0,1.0,1.0,0.0,1.0,21.42,0.1,20.62,21.0,241.91,3942.0,2.179767,0.0,0.0,0.1,100.0,1.0,0.0,21.9,1.0,0.0,0.0,1.0,0.0,1.0,225.168,0.1,0.0,0.91099447,31.400002,125205.0,0.0,0.0,0.0,21.0,0.0,21.0,241.81201,134.304,0.103194006,28.3,0.0,0.0,0.0,379.80002,21.0,0.0,0.0,1.0,0.0,0.0,21.0,21.0,0.0,21.0,417.0,0.555,0.0,1.0,0.0,19349.1,0.0,13958.7,0.0,1.0,241.48601,0.0,0.0,0.0,0.0,1035.0,0.0,322.04797,0.0,21.0,0.1,21.75,0.0913492,0.0,480.96,22.4,0.0,0.0,0.0,238.32901,670.89996,91.596,0.0,0.0,0.0,0.006625795,21.772001,26609.2,0.0,0.0,0.0,21.0,0.0,0.0,0.0,124637.99,19349.0,0.0,29.0,1.0,0.0,0.0,0.0,6.0,2.7,416.712,0.1,21.0,5.3,30.999998,0.0,0.0,0.0,0.0,353.5,0.007433656,663.67993,0.0,21.0,0.245566,1.0,1.0,0.0,1.0,14225.0,0.0,21.300001,3942.0,0.0,546.88,0.0
0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,26035.0,238.25,0.0,0.0,100.0,1.0,1.0,0.0,1288.0001,1.0,20.439999,48.0,0.0,0.0,7.3536577,0.0,21.68,0.0,0.0,275.0,1.006215,240.676,363.84,21.0,0.00476692,1.0,22.097,0.0,704.0,1.0,1.0,1.0,21.0,0.0,2134.0,0.0,21.0,21.0,1929.9999,22.960001,0.0,88.0,1.0,21.0,5.0,0.0,0.0,0.0,100.0,1.0,1.0,0.0,1.0,21.42,0.1,20.82,21.0,241.91,3942.0,2.179767,0.0,0.0,0.1,100.0,1.0,0.0,21.9,1.0,0.0,0.0,1.0,0.0,1.0,235.99998,0.1,0.0,0.91099447,31.400002,125205.0,0.0,0.0,0.0,21.0,0.0,21.0,241.81201,134.304,0.1975,28.3,0.0,0.0,0.0,379.80002,21.0,0.0,0.1,1.0,0.0,0.0,21.0,21.0,0.0,21.0,399.90002,0.555,0.0,1.0,0.0,19349.1,0.0,13958.7,0.0,1.0,240.06601,0.0,0.0,0.0,47.0,1042.0,0.0,322.04797,0.0,21.0,0.1,21.75,0.21803999,0.0,480.96,22.4,0.0,0.0,0.0,238.32901,704.0,91.596,0.0,0.0,0.0,0.006625795,21.772001,26609.2,0.0,0.0,0.0,21.0,0.0,0.0,0.0,125308.0,19349.0,0.0,32.6,1.0,0.0,0.0,0.0,32.0,2.7,416.712,0.1,21.0,6.3,30.999998,0.0,0.0,0.0,0.0,353.5,0.007433656,784.01196,0.0,21.0,0.245566,1.0,1.0,0.0,1.0,14225.0,0.0,21.300001,3942.0,0.0,546.88,0.0
0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,26035.0,238.25,0.0,0.0,100.0,1.0,1.0,0.0,1288.0001,1.0,20.439999,48.0,0.0,0.0,7.3536577,0.0,21.68,0.0,0.0,274.8,1.006215,240.676,363.84,21.0,0.00476692,1.0,22.097,0.0,704.0,1.0,1.0,1.0,21.0,0.0,2134.0,0.0,21.0,21.0,1929.9999,22.960001,0.0,88.0,1.0,21.0,5.0,0.0,0.0,7.2000003,100.0,1.0,1.0,0.0,1.0,21.42,0.1,20.82,21.0,240.23,3942.0,1.5562301,0.0,0.0,0.1,100.0,1.0,0.0,21.9,1.0,0.0,0.0,1.0,0.0,1.0,222.28801,0.1,0.0,0.9499915,31.400002,125205.0,0.0,0.0,0.0,21.0,0.0,21.0,241.81201,134.304,0.103194006,28.3,0.0,0.0,0.0,0.0,21.0,0.0,0.1,1.0,0.0,0.0,21.0,21.0,0.0,21.0,399.90002,0.555,0.0,1.0,0.0,19349.1,0.0,13958.7,0.0,1.0,240.06601,0.0,0.0,0.0,0.0,1042.0,0.0,322.04797,0.0,21.0,0.0,21.75,0.0913492,0.0,480.96,22.42,0.0,0.0,0.0,239.42099,670.89996,6.0,0.0,0.0,0.0,0.006625795,21.772001,26609.2,0.0,0.0,0.0,21.0,0.0,0.0,0.0,125308.0,19349.0,0.0,31.0,1.0,0.0,0.0,0.0,6.0,0.0,525.76,0.0,21.0,0.0,30.999998,0.0,0.0,0.0,0.0,342.0,0.0,795.532,0.0,21.0,0.245566,1.0,1.0,0.0,1.0,14225.0,0.0,21.300001,3942.0,0.0,546.88,0.0
0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,26035.0,238.25,0.0,0.0,100.0,1.0,1.0,0.0,1288.0001,1.0,20.640001,71.0,0.0,0.0,7.3536577,0.0,20.92,0.0,0.0,274.8,1.006215,240.036,363.84,21.0,0.00476692,1.0,22.097,0.0,704.0,1.0,1.0,1.0,21.0,0.0,2134.0,0.0,21.0,21.0,1929.9999,22.960001,0.0,0.0,1.0,21.0,0.0,0.0,0.0,7.2000003,100.0,1.0,1.0,0.0,1.0,21.42,0.1,21.02,21.0,237.93001,3942.1,2.179767,0.0,0.0,0.1,100.0,1.0,0.0,21.9,1.0,0.0,0.0,1.0,0.0,1.0,222.28801,0.1,0.0,0.9499915,31.400002,123865.01,0.0,0.0,0.0,21.0,0.0,21.0,239.91199,134.304,0.103194006,27.0,0.0,0.0,0.0,379.80002,21.0,0.0,0.1,0.0,0.0,0.0,21.0,21.0,0.0,21.0,399.90002,0.555,0.0,1.0,0.0,19349.1,0.0,13958.7,0.0,1.0,238.92,0.0,0.0,12.7,8.000001,1028.0,0.0,264.96002,0.0,21.0,0.1,21.75,0.0913492,0.0,482.88,22.42,0.0,0.0,0.1,239.42099,737.1,91.596,0.0,0.0,0.0,0.0,22.668001,25460.8,0.0,0.0,0.0,21.0,0.0,0.0,0.0,125308.0,19349.0,0.0,32.6,1.0,0.0,0.0,0.0,6.0,0.0,525.76,0.0,21.0,0.0,30.999998,0.0,0.0,0.0,0.0,353.5,0.0,806.412,0.0,21.0,0.245566,1.0,1.0,0.0,1.0,14225.0,0.0,21.5,3942.0,0.0,546.88,0.0
0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,26035.0,238.25,0.0,0.0,100.0,1.0,1.0,0.0,1288.0001,1.0,21.300001,48.0,0.0,0.0,7.3536577,0.0,21.300001,0.0,0.0,274.8,1.006215,240.036,374.71997,21.0,0.00476692,1.0,22.097,0.0,704.0,1.0,1.0,1.0,21.0,0.0,2134.0,0.0,21.0,21.0,1929.9999,23.18,0.0,0.0,1.0,21.0,0.0,0.0,0.0,7.2000003,100.0,1.0,1.0,0.0,1.0,21.42,0.1,21.22,21.0,237.93001,3942.1,2.179767,0.0,0.0,0.1,100.0,1.0,0.0,22.1,1.0,0.0,0.0,1.0,0.0,1.0,222.28801,0.1,0.0,0.9499915,30.400002,124534.99,0.0,0.0,0.0,21.0,0.0,21.0,239.91199,134.304,0.103194006,28.3,0.0,0.0,0.0,379.80002,21.0,0.0,0.1,0.0,0.0,0.0,21.0,21.0,0.0,21.0,399.90002,0.555,0.0,1.0,0.0,19349.0,0.0,13958.7,0.0,1.0,240.06601,0.0,0.0,12.7,6.0,1028.0,0.0,264.96002,0.0,21.0,0.1,21.75,0.0913492,0.0,482.88,22.42,0.0,0.0,0.1,239.42099,737.1,91.596,0.0,0.0,0.0,0.0,22.240002,25460.8,0.0,0.0,0.0,21.0,0.0,0.0,0.0,125308.0,19349.0,0.0,32.6,1.0,0.0,0.0,0.0,6.0,0.0,536.96,0.0,21.0,0.0,30.999998,0.0,0.0,0.0,0.0,353.5,0.0,829.45197,0.0,21.0,0.245566,1.0,1.0,0.0,1.0,14225.0,0.0,21.5,3942.0,0.0,545.92,0.0
0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,26035.0,238.25,0.0,0.0,100.0,1.0,1.0,0.0,1288.0001,1.0,21.04,48.0,0.0,0.0,7.3536577,0.0,21.12,0.0,0.0,274.8,1.5311401,240.036,374.71997,21.0,0.00476692,1.0,22.097,0.0,704.0,1.0,1.0,1.0,21.0,0.0,2134.0,0.0,21.0,21.0,1929.9999,23.18,0.0,0.0,1.0,21.0,0.0,0.0,0.0,7.2000003,100.0,1.0,1.0,0.0,1.0,21.42,0.1,21.42,21.0,237.93001,3942.1,2.179767,0.0,0.0,0.1,100.0,1.0,0.0,22.1,1.0,0.0,0.0,1.0,0.0,1.0,222.28801,0.0,0.0,0.9499915,30.400002,123865.01,0.0,0.0,0.0,21.0,0.0,21.0,239.91199,134.304,0.103194006,28.3,0.0,0.0,0.0,379.80002,21.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,21.0,417.0,0.555,0.0,1.0,0.0,19349.1,0.0,13958.7,0.0,1.0,240.06601,0.0,0.0,12.7,7.0,1035.0,0.0,270.88,0.0,21.0,0.1,21.75,0.0913492,0.0,482.88,22.42,0.0,0.0,0.1,239.42099,737.1,91.596,0.0,0.0,0.0,0.0,22.240002,25460.8,0.0,0.0,0.0,21.0,0.0,0.0,0.0,125308.0,19349.0,0.0,32.6,1.0,0.0,0.0,0.0,6.0,0.0,536.96,0.0,21.0,0.0,30.999998,0.0,0.0,0.0,0.0,353.5,0.0,741.76,0.0,21.0,0.110522,1.0,1.0,0.0,1.0,14225.0,0.0,21.5,3942.0,0.0,545.92,0.0
0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,26035.0,239.52,0.0,0.0,100.0,1.0,1.0,0.0,1288.0001,1.0,21.24,48.0,0.0,0.0,7.3536577,0.0,21.12,0.0,0.0,275.0,1.006215,240.036,374.71997,21.0,0.00476692,1.0,22.097,0.0,704.0,1.0,1.0,1.0,21.0,0.0,2134.0,0.0,21.0,21.0,1929.9999,23.38,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,100.0,1.0,1.0,0.0,1.0,21.42,0.1,21.619999,21.0,240.23,3942.0,2.179767,0.0,0.0,0.1,100.0,1.0,0.0,22.1,1.0,0.0,0.0,1.0,0.0,1.0,234.87999,0.0,0.0,0.9499915,30.400002,123865.01,0.0,0.0,0.0,21.0,0.0,21.0,239.91199,134.304,0.1975,28.3,0.0,0.0,0.0,379.80002,21.0,0.0,0.1,0.0,0.0,0.0,21.0,21.0,0.0,21.0,399.90002,0.555,0.0,1.0,0.0,19349.1,0.0,13958.7,0.0,1.0,240.52602,0.0,0.0,12.7,4.0,1028.0,0.0,270.88,0.0,21.0,0.1,21.75,0.102549,0.0,482.88,22.42,0.0,0.0,0.1,239.42099,704.0,91.596,0.0,0.0,0.0,0.0,22.240002,25460.8,0.0,0.0,0.0,21.0,0.0,0.0,0.0,125308.0,19349.0,0.0,32.6,1.0,0.0,0.0,0.0,6.0,0.0,547.84,0.0,21.0,0.0,30.999998,0.0,0.0,0.0,0.0,353.5,0.0,763.52,0.0,21.0,0.110522,1.0,1.0,0.0,1.0,14225.0,0.0,21.5,3942.0,0.0,545.92,0.0
